StudyID	variable	value	se
ACV084	Shannon	4.663638713	NA
ACV086	Shannon	4.444823084	NA
ACV087	Shannon	3.934763854	NA
ACV088	Shannon	4.519299191	NA
ACV089	Shannon	4.257466092	NA
ACV090	Shannon	2.019238441	NA
ACV092	Shannon	4.182960922	NA
ACV093	Shannon	2.676826302	NA
ACV094	Shannon	3.56765532	NA
ACV095	Shannon	4.108522046	NA
ACV096	Shannon	4.041927913	NA
ACV097	Shannon	3.738999194	NA
ACV098	Shannon	2.454056483	NA
ACV099	Shannon	4.967019309	NA
ACV100	Shannon	4.659051325	NA
ACV101	Shannon	5.361988983	NA
ACV102	Shannon	4.284755507	NA
ACV103	Shannon	4.560332909	NA
ACV104	Shannon	3.911852039	NA
ACV105	Shannon	4.460274663	NA
ACV106	Shannon	4.786073314	NA
ACV107	Shannon	4.58848715	NA
ACV108	Shannon	4.720716285	NA
ACV109	Shannon	4.248815922	NA
ACV110	Shannon	3.259513392	NA
ACV111	Shannon	4.166537801	NA
ACV112	Shannon	5.039707578	NA
ACV114	Shannon	3.700167185	NA
ACV116	Shannon	4.81016095	NA
ACV118	Shannon	4.214517061	NA
ACV002	Simpson	0.964574043	NA
ACV003	Simpson	0.989607265	NA
ACV004	Simpson	0.970870983	NA
ACV005	Simpson	0.981940047	NA
ACV006	Simpson	0.802048967	NA
ACV007	Simpson	0.918821674	NA
ACV009	Simpson	0.986696902	NA
ACV011	Simpson	0.990430924	NA
ACV012	Simpson	0.975326598	NA
ACV014	Simpson	0.944576809	NA
ACV016	Simpson	0.897041406	NA
ACV017	Simpson	0.970529715	NA
ACV018	Simpson	0.94430256	NA
ACV019	Simpson	0.970473899	NA
ACV020	Simpson	0.982866203	NA
ACV021	Simpson	0.933586865	NA
ACV022	Simpson	0.971863492	NA
ACV023	Simpson	0.961608086	NA
ACV025	Simpson	0.979684744	NA
ACV026	Simpson	0.985378853	NA
ACV027	Simpson	0.937729681	NA
ACV028	Simpson	0.972607358	NA
ACV029	Simpson	0.986331769	NA
ACV030	Simpson	0.983106999	NA
ACV031	Simpson	0.951412145	NA
ACV032	Simpson	0.965028739	NA
ACV033	Simpson	0.978570116	NA
ACV034	Simpson	0.947720615	NA
ACV035	Simpson	0.978077995	NA
ACV036	Simpson	0.977982177	NA
ACV037	Simpson	0.978177573	NA
ACV038	Simpson	0.987035712	NA
ACV039	Simpson	0.967030188	NA
ACV040	Simpson	0.985651549	NA
ACV041	Simpson	0.544578759	NA
ACV042	Simpson	0.907981839	NA
ACV043	Simpson	0.979920612	NA
ACV044	Simpson	0.970270665	NA
ACV045	Simpson	0.884812667	NA
ACV046	Simpson	0.97624348	NA
ACV047	Simpson	0.966608305	NA
ACV048	Simpson	0.953261388	NA
ACV049	Simpson	0.968200276	NA
ACV050	Simpson	0.987844732	NA
ACV051	Simpson	0.976209122	NA
ACV052	Simpson	0.985623468	NA
ACV053	Simpson	0.857806668	NA
ACV054	Simpson	0.962438962	NA
ACV055	Simpson	0.9598528	NA
ACV056	Simpson	0.953325105	NA
ACV057	Simpson	0.989257177	NA
ACV058	Simpson	0.988768014	NA
ACV059	Simpson	0.945114284	NA
ACV060	Simpson	0.973158398	NA
ACV061	Simpson	0.904450196	NA
ACV062	Simpson	0.975825097	NA
ACV063	Simpson	0.974994395	NA
ACV064	Simpson	0.959808619	NA
ACV065	Simpson	0.984993065	NA
ACV067	Simpson	0.990403367	NA
ACV068	Simpson	0.983824283	NA
ACV069	Simpson	0.98614178	NA
ACV070	Simpson	0.981275083	NA
ACV071	Simpson	0.972573671	NA
ACV072	Simpson	0.977789125	NA
ACV073	Simpson	0.961958298	NA
ACV075	Simpson	0.82873119	NA
ACV076	Simpson	0.985497322	NA
ACV077	Simpson	0.886076725	NA
ACV078	Simpson	0.9717713	NA
ACV079	Simpson	0.96868799	NA
ACV080	Simpson	0.966938685	NA
ACV081	Simpson	0.978027181	NA
ACV082	Simpson	0.972762588	NA
ACV083	Simpson	0.961712606	NA
ACV084	Simpson	0.983205221	NA
ACV086	Simpson	0.970835727	NA
ACV087	Simpson	0.964527948	NA
ACV088	Simpson	0.978562328	NA
ACV089	Simpson	0.972356228	NA
ACV090	Simpson	0.6998327	NA
ACV092	Simpson	0.96896612	NA
ACV093	Simpson	0.83184406	NA
ACV094	Simpson	0.94792731	NA
ACV095	Simpson	0.962646658	NA
ACV096	Simpson	0.93023524	NA
ACV097	Simpson	0.899202234	NA
ACV098	Simpson	0.868147439	NA
ACV099	Simpson	0.9845046	NA
ACV100	Simpson	0.980355148	NA
ACV101	Simpson	0.991185136	NA
ACV102	Simpson	0.979359351	NA
ACV103	Simpson	0.97728023	NA
ACV104	Simpson	0.955683244	NA
ACV105	Simpson	0.96991574	NA
ACV106	Simpson	0.978261049	NA
ACV107	Simpson	0.983591067	NA
ACV108	Simpson	0.984107755	NA
ACV109	Simpson	0.970418471	NA
ACV110	Simpson	0.908671222	NA
ACV111	Simpson	0.938874109	NA
ACV112	Simpson	0.985346607	NA
ACV114	Simpson	0.950768781	NA
ACV116	Simpson	0.98666078	NA
ACV118	Simpson	0.951246876	NA
